,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C356,3.4552360482273556,4.143455341976196,1,GNS,1.935489248385824,2.9178518910341262,1,GNS,1.691301457306355,2.6810215287142913,1,GNS,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,CLCN6 RERE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C356,1,1,0.25,0.25,0.0,0.5
C296,-0.0,0.0,0,,2.1005237859978,2.003919224120567,2,ATP13A2 ATP2B1,1.7166345033278054,1.7664620596241356,2,ATP13A2 ATP2B1,-0.0,0.0,0,,2.2712151126333637,2.8913328343757154,1,ATP13A2,-0.0,0.0,0,,0.6593657709962164,0.7824917351561265,3,ATP13A2 ATP2B1 ATP8A2,0.4700239042659486,0.9870344062594594,1,ATP8A2,-0.0,0.0,0,,0.5490742530144059,0.8098392622273227,2,ATP2B1 ATP8A2,Ion transport by P-type ATPases,0,1,0.0,0.058823529411764705,0.058823529411764705,0.8823529411764706
C354,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C354,0,2,0.0,0.5,0.0,0.5
C324,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.088342598037017,2.962638585124078,1,PINK1,3.8451277768683387,4.2782674003830286,1,PINK1,-0.0,0.0,0,,1.4466731956116547,1.917518027501825,2,CAPZB PINK1,1.4698723129178655,2.3739816154521547,1,CAPZB,2.4539223884024857,3.270513692651881,1,PINK1,0.7021924188390212,1.4381182310461273,1,CAPZB,C324,0,1,0.0,0.2,0.0,0.8
C299,5.321713757803565,3.5470443995764214,2,ACP2 NEU1,6.998633871258818,3.2142591236783,4,ACP2 CLN3 HEXA NEU1,6.095822172614194,2.975545879583237,4,ACP2 CLN3 HEXA NEU1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.9373065106395577,1.854476056442694,5,ACP2 CLN3 COLQ HEXA NEU1,-0.0,0.0,0,,-0.0,0.0,0,,1.8585606874439276,1.622001247753598,3,CLN3 COLQ MCOLN1,"hydrolase activity, hydrolyzing O-glycosyl compounds",4,0,0.3076923076923077,0.0,0.0,0.6923076923076923
C302,-0.0,0.0,0,,-0.0,0.0,0,,0.7969458919306804,1.476668134469394,1,CTSF,1.287977104934871,2.0460247862645584,1,TMEM175,2.8363027882605993,3.3616566172979496,1,TMEM175,-0.0,0.0,0,,0.5297191797629537,0.8185555374643503,2,CTSF TMEM175,-0.0,0.0,0,,1.5988664037439448,2.3539009859963027,1,TMEM175,-0.0,0.0,0,,C302,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C337,3.4552360482273556,4.143455341976196,1,PSEN1,1.935489248385824,2.9178518910341262,1,PSEN1,1.691301457306355,2.6810215287142913,1,PSEN1,2.305654733892398,3.2503744919275714,1,PSEN1,4.073710476857645,4.566002804745972,1,PSEN1,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,PSEN1,1.6721112022995561,2.661718072676212,1,PSEN1,2.6766913534260444,3.558249417489865,1,PSEN1,0.8691626431750878,1.7258566050490316,1,PSEN1,C337,0,1,0.0,0.25,0.0,0.75
C342,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.073710476857645,4.566002804745972,1,KLC1,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,KLC1 SORT1,-0.0,0.0,0,,-0.0,0.0,0,,2.3240352651716076,2.8254744090659107,2,SORT1 TRIOBP,C342,0,1,0.0,0.25,0.0,0.75
C312,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.7417897446788013,2.5570657996172947,1,SLC18A2,3.4339890611417556,3.872695619918904,1,SLC18A2,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,SLC18A2,1.163177374269582,1.96840772892552,1,SLC18A2,2.0890592616135866,2.8649412711348035,1,SLC18A2,-0.0,0.0,0,,C312,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C307,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8729621609162215,1.224195761587323,2,DRAM2 TMEM43,1.0456305008427367,1.8142026554514281,1,DRAM2,-0.0,0.0,0,,1.4610174020423636,1.7266369078525106,2,DRAM2 TMEM43,C307,0,1,0.0,0.125,0.0,0.875
