"CD_AnnotatedAlgorithm","CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_AnnotatedMembers_SourceDB","CD_AnnotatedMembers_SourceTerm","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","CD_NonAnnotatedMembers","HiDeF_persistence","name","NumChildren","NumDescendents","selected","shared name"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","FGD6 JPH1 MAGEA11 NUDCD1 PATJ POMK RAB27B RNF20 TOP3B ZFP91 ZMYND11","3.459","11","","31","C159529",,,"false","C159529"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","AGA AMPD3 CFB CHKB DERL1 IGDCC4 IQSEC1 OR2T6 OR8D2 SLC25A13 SPATA31A7","3.459","11","","76","C159528",,,"false","C159528"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ACP5 ADAP2 CD68 CYBB HLA-DQA1 HNMT LYZ MS4A4A NPL PLA2G7 RIN2 SLCO2B1","3.585","12","","6","C159527",,,"false","C159527"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ACO2 ADIPOR1 BAX HOOK1 HSP90B1 HYOU1 IDH1 MOGS PCBP2 RAD23A SCAMP3 SRI","3.585","12","","8","C159526",,,"false","C159526"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","ATP6V0C GRN LAMP1","0.088","4.933912103047908E-6","3","GO:BP","GO:0007042","lysosomal lumen acidification","true","ATP6V0C CD63 CST3 CTSA CTSD GAA GRN LAMP1 LRPAP1 MAN2B1 MTCH1 NPC2 PLD3","3.7","13","CD63 CST3 CTSA CTSD GAA LRPAP1 MAN2B1 MTCH1 NPC2 PLD3","6","C159525",,,"false","C159525"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ANXA11 CD81 CD99 DDAH2 FXYD5 IGFBP4 LRP10 PLTP PLXND1 TCN2 TGFBI TIMP2 TSPAN4","3.7","13","","8","C159524",,,"false","C159524"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","B3GALT4 B4GALNT1 NEU4","0.143","2.976982860312409E-8","3","WP","WP:WP5299","Ganglio series sphingolipid metabolism","true","AMDHD2 B3GALT4 B4GALNT1 BIN3 CHIT1 DEFB104B FUCA2 HEXD HYAL3 KIR2DS4 NEU4 PRXL2A RENBP","3.7","13","AMDHD2 BIN3 CHIT1 DEFB104B FUCA2 HEXD HYAL3 KIR2DS4 PRXL2A RENBP","21","C159523",,,"false","C159523"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","AP2A2 IGF2R M6PR SLC2A8 TGOLN2 VAMP2 VAMP3","0.089","2.0883648352471042E-16","7","GO:CC","GO:0030669","clathrin-coated endocytic vesicle membrane","true","AP2A2 DNM2 FMR1 GALC IGF2R M6PR NECAP2 OGA PICALM PSEN1 SLC2A8 TGOLN2 VAMP2 VAMP3","3.807","14","DNM2 FMR1 GALC NECAP2 OGA PICALM PSEN1","6","C159522",,,"false","C159522"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ATF5 DDIT3 ENC1 ETS2 GAMT GGT5 IGFBP2 IGFBP7 MALAT1 MMP3 MMRN1 NOTCH3 PROS1 TFPI TGM2","3.907","15","","5","C159521",,,"false","C159521"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","B2M CD74 HLA-A HLA-C HLA-DMA HLA-DMB HLA-DPB1 HLA-DRB1","0.258","2.3077805833036294E-23","8","GO:CC","GO:0042611","MHC protein complex","true","B2M CAPG CD74 CTSH CYBA HLA-A HLA-C HLA-DMA HLA-DMB HLA-DPB1 HLA-DRB1 LGALS9 TYMP UCP2 VAMP8","3.907","15","CAPG CTSH CYBA LGALS9 TYMP UCP2 VAMP8","6","C159520",,,"false","C159520"
