GENE	DLB	AD	FTLD	ALS	PD
SLC19A3	0.47763	0.079911	0.83331	0.065795	0.71922
SLC1A3	0.26284	0.45176	0.50976	0.33765	0.73921
SLC25A13	0.24211	0.88556	0.087726	0.7474	0.17815
SLC25A15	0.57547	0.8792	0.15031	0.23347	0.63041
SLC25A42	0.28853	0.42392	0.79734	0.6227	0.078821
SLC39A14	0.85542	0.9734	0.054633	0.54109	0.007356
SLC44A1	0.95113	0.63449	0.55379	0.081289	0.016021
SLC5A6	0.50325	0.52317	0.0099463	0.73972	0.55952
SMPD1	0.74628	0.54411	0.26745	0.29393	0.011328
SPG11	0.81779	0.61469	0.32517	0.19301	0.56861
SQSTM1	0.29823	0.0072458	0.61382	0.13711	0.098853
ST3GAL5	0.76128	0.76398	0.34037	0.42057	0.022191
SUMF1	0.22828	0.7229	0.97586	0.86024	0.79225
SUOX	0.0039563	0.11763	0.31523	0.75859	0.59604
SURF1	0.73309	0.95726	0.25651	0.39301	0.68561
SYNJ1	0.32635	0.72456	0.54773	0.29436	0.34679
TANGO2	0.75385	0.15956	0.40866	0.087995	0.25215
TBC1D2B	0.56908	0.53202	0.65689	0.88479	0.86972
TBCD	0.76247	0.64461	0.55052	0.41651	0.015088
TBCE	0.82069	0.31447	0.28185	0.94623	0.08067
TBP	0.89224	0.92506	0.33813	0.12238	0.16197
TPP1	0.30351	0.15076	0.31656	1.2037e-06	0.00027746
TRAPPC12	0.81287	0.74023	0.21551	0.92914	0.035529
TREX1	0.66208	0.71584	0.4756	0.22374	0.045666
TUBB4A	0.17534	0.9081	0.36132	0.97685	0.041301
TYMP	0.055063	0.41262	0.723	0.23448	0.33687
UBTF	0.31209	0.97215	0.84988	0.14879	0.0060617
XPA	0.49258	0.98965	0.34373	0.23053	0.0093831
ZFYVE26	0.6444	0.94051	0.5391	0.23943	0.89642
ZNHIT3	0.47867	0.46686	0.16981	1.9502e-06	0.66454
